What are some of the appetizers offered on the menu?,"Some of the appetizers offered on the menu are Short Rib Arancini, Fresh Stracciatella Cheese & Antipasto Plate, Baked Wagyu-Pork Meatball, Goat Cheese & Mascarpone Dip, PEI Mussels, and Mozzarella & Tomatoes."
Can you describe the ingredients in the Fresh Stracciatella Cheese & Antipasto Plate?,"The Fresh Stracciatella Cheese & Antipasto Plate includes soft freshly made mozzarella ribbons in rich cream, topped with lemon zest, olive oil, and pistachios. It is accompanied by soppresatta, oven-dried tomatoes, and giardiniera."
How are the Short Rib Arancini prepared and served?,"The Short Rib Arancini is prepared by frying balls of risotto and tender beef short rib. It is then served with tomato basil sauce."
What is the price of the Baked Wagyu-Pork Meatball appetizer?,"The price of the Baked Wagyu-Pork Meatball appetizer is $15."
Which appetizer is a Mama Ricotta's favorite and what is it served with?,"GOAT CHEESE & MASCARPONE DIP is a Mama Ricotta's favorite and it is served with grilled ciabatta for dipping."
What is the accompaniment for the PEI Mussels dish?,"The accompaniment for the PEI Mussels dish is crusty sourdough bread."
What is the price for adding truffle oil to the sourdough bread?,"The price for adding truffle oil to the sourdough bread is $2.00."
Describe the ingredients in the Mozzarella & Tomatoes dish.,"The Mozzarella & Tomatoes dish is made with freshly made mozzarella, snuggled between thick slices of vine-ripened tomatoes, and drizzled with extra virgin olive oil and fresh basil."
What are the components of the Milanese Onion Soup?,"The components of the Milanese Onion Soup are caramelized onions in a rich broth topped with toast and broiled Fontina cheese."
How is the Greek Yogurt Caesar Salad prepared?,"The Greek Yogurt Caesar Salad is prepared with crispy garlic breadcrumbs and Pecorino Romano, along with a mix of romaine lettuce, kale, walnuts, bruschetta tomatoes, Kalamata olives, red onion, pepperoncini, garbanzo beans, and carrots, all tossed in a light balsamic vinaigrette dressing."
List the ingredients in the Chopped Salad.,"Gorgonzola cheese, romaine lettuce, kale, walnuts, bruschetta tomatoes, Kalamata olives, red onion, pepperoncini, garbanzo beans, and carrots."
What are the options available for adding protein to the salads?,"The options available for adding protein to the salads are chicken, shrimp, and salmon for an additional charge."
What are the additional charges for whole wheat pasta and gluten-free pasta?,"The additional charge for whole wheat pasta is $4 and the additional charge for gluten-free pasta is $2."
What is the policy for shared items at the restaurant?,"The policy for shared items at the restaurant is that there is a $3.00 split fee assessed for all shared items. Additionally, large pizzas and family items are not valid with discount cards."
How can customers enjoy Mama Ricotta’s house made salad dressings at home?,"Customers can purchase a quart of their favorite salad dressing from Mama Ricotta's and enjoy it at home. They can ask their server for more information on purchasing the dressings."
What is the automatic gratuity policy for large parties?,"The automatic gratuity policy for large parties is 20%."
What is the corkage fee at the restaurant?,"The corkage fee at the restaurant is $30."
When is the menu subject to change?,"The menu is subject to change in June 2023."
What is the automatic gratuity percentage for parties with 8 or more guests?,"The automatic gratuity percentage for parties with 8 or more guests is 20%."
Can you describe the PASTA PRIMAVERA dish on the menu?,"The PASTA PRIMAVERA dish on the menu is made with organic spaghetti and seasonal vegetables, served with a choice of extra virgin olive oil and garlic, cream, or tomato basil sauce."
What are the options for the AMMA’S CHEESE RAVIOLI sauce choices?,"The AMMA’S CHEESE RAVIOLI can be served with your choice of meat sauce, tomato sauce, or butter and sage."
What is the price range for the ITALIAN SAUSAGE RAVIOLI dish?,"The price range for the ITALIAN SAUSAGE RAVIOLI dish is $26 for an individual serving and unavailable for a family size serving."
What is included in the PAPPARDELLE WITH TOMATO BASIL SAUCE dish?,"House made pappardelle pasta tossed with sweet, slow-cooked San Marzano Roma tomato sauce and topped with fresh basil. Optional add-ins: spicy Calabrian chilis for an extra cost."
Is there an option to make the PAPPARDELLE WITH TOMATO BASIL SAUCE dish spicy?,"Yes, the PAPPARDELLE WITH TOMATO BASIL SAUCE dish can be made spicy with the addition of Calabrian chilis for an extra cost."
What is the dish SPAGHETTI WITH MEATBALLS served with?,"SPAGHETTI WITH MEATBALLS is served with organic spaghetti and Mama's tomato basil sauce."
What is the price range for the Organic spaghetti with American wagyu beef and Kurobuta pork meatballs braised in Mama’s tomato basil sauce?,"$22-$36"
Describe the ingredients in the Spicy Shrimp and Mussel Linguine.,"The Spicy Shrimp and Mussel Linguine contains natural shrimp and mussels tossed with fresh linguine in a marinated tomato, Calabrian chili, white wine and Italian butter sauce with toasted garlic."
What type of meat is used in the Lasagna dish?,"The Lasagna dish contains a blend of ground beef, veal, and homemade sausage."
What is the additional cost for adding a chicken parm cutlet to the Penne alla Vodka dish?,"The additional cost for adding a chicken parm cutlet to the Penne alla Vodka dish is $10 for an individual portion and $10 for a family portion."
Who created the House Radiatore with Meat Sauce recipe?,"The Scibelli family."
What are the main ingredients in the Scibelli family recipe?,"The Scibelli family recipe includes ground beef, pork, veal, and Italian plum tomatoes."
What is the additional cost for adding hand-packed ricotta to the Scibelli family recipe?,"The additional cost for adding hand-packed ricotta to the Scibelli family recipe is $1.50 for an individual portion and $2.50 for a family portion."
How is the PENNE BROCCOLI & CHICKEN dish prepared?,"The PENNE, BROCCOLI & CHICKEN dish is prepared by tossing broiled chicken breast, broccoli florets, and penne pasta in a delicate lemon cream sauce."
What modifications can be accommodated for the dishes?,"Certain modifications can be accommodated for the dishes, but they may incur an additional charge."
What is the split fee for shared items?,"The split fee for shared items is $3.00."
How is the POLLO ALLA GRIGLIA dish prepared?,"The POLLO ALLA GRIGLIA dish is prepared by marinating broiled chicken breast in lemon and garlic and topping it with bruschetta tomatoes. It is served with roasted garlic mashed potatoes and a daily fresh vegetable."
What is included in the POLLO CARCIOFI dish?,"The POLLO CARCIOFI dish includes tender chicken scallopine with artichoke hearts in a light sauce of lemon, white wine, and capers served with creamy polenta and today's fresh vegetable."
What is the cost of the POLLO BIANCO dish?,"The cost of the POLLO BIANCO dish is $23 for an individual serving and $40 for a family serving."
What are the different price options for the wild mushroom sauce dish?,"The different price options for the wild mushroom sauce dish are $23 for an individual serving, $40 for a family serving, and $55 for a large family serving."
What sides are available with the wild mushroom sauce dish?,"Today’s fresh vegetable and garlic mashed potatoes are available as sides with the pollo bianco dish, which is a scallopini-style chicken layered with prosciutto and mozzarella in a Chianti wild mushroom sauce."
